,Cost,Redundant,epsilon,binding(1),sample,scenario,Time(sec)
0,21620.0,0.0,0.0,True,0,0,0.03789067268371582
1,22490.0,12.0,11.46,False,0,0,0.07479214668273926
2,23400.0,23.0,22.92,False,0,0,0.09374141693115234
3,24440.0,35.0,34.38,False,0,0,0.13562917709350586
4,25390.0,46.0,45.84,False,0,0,0.18050932884216309
5,26450.0,58.0,57.3,False,0,0,0.21641325950622559
6,27410.0,69.0,68.76,False,0,0,0.23636317253112793
7,28470.0,81.0,80.22,False,0,0,0.25431227684020996
8,29430.0,92.0,91.68,False,0,0,0.27625298500061035
9,30500.0,104.0,103.14,False,0,0,0.2942054271697998
10,31459.999999999996,115.0,114.6,False,0,0,0.3101632595062256
11,32530.0,127.0,126.06,False,0,0,0.3231315612792969
12,33500.0,138.0,137.52,False,0,0,0.34207820892333984
13,34529.99999999999,149.00000000000003,148.98,False,0,0,0.5241003036499023
14,35610.0,161.00000000000003,160.44,False,0,0,0.6213505268096924
15,36590.0,172.0,171.9,False,0,0,0.6472809314727783
16,37670.0,184.0,183.36,False,0,0,0.6986496448516846
17,38650.0,195.0,194.82,False,0,0,0.7465217113494873
18,39730.0,207.0,206.28,False,0,0,0.7963881492614746
19,40710.0,218.0,217.74,False,0,0,0.8701915740966797
20,41790.0,230.0,229.2,False,0,0,0.939007043838501
21,42770.0,241.0,240.66,False,0,0,0.9789013862609863
22,43850.0,253.0,252.12,False,0,0,1.0167994499206543
23,44830.0,264.0,263.58,False,0,0,1.0397388935089111
24,45910.0,276.0,275.04,False,0,0,1.069657564163208
25,46950.0,287.0,286.5,False,0,0,1.1255452632904053
26,47920.0,298.0,297.96,False,0,0,1.179365873336792
27,49009.999999999985,309.99999999999994,309.42,False,0,0,1.2322239875793457
28,49980.0,321.0,320.88,False,0,0,1.303046703338623
29,51070.000000000204,333.0,332.34,False,0,0,1.369856595993042
30,52040.0,344.0,343.8,False,0,0,1.3927950859069824
31,53130.0,356.0,355.26,False,0,0,1.448645830154419
32,54100.0,367.0,366.72,False,0,0,1.4636168479919434
