,Cost,Redundant,Time(sec)
0,15118.33333333333,1169.0,0.06248593330383301
1,5883.33333333333,436.0,0.07810640335083008
2,7078.3333333333285,777.0,0.04686427116394043
3,7913.333333333333,934.0,0.04686379432678223
4,7115.0,1004.0,0.062486886978149414
5,7566.666666666666,703.0,0.07810688018798828
6,6851.666666666666,799.0,0.06248331069946289
7,7341.666666666665,866.0,0.06248736381530762
8,5494.999999999999,510.0,0.07810664176940918
9,9101.666666666659,1291.0,0.062484025955200195
10,11663.333333333328,1069.0,0.062485456466674805
11,10683.333333333334,1219.0,0.04686450958251953
12,8543.333333333332,948.0,0.03124237060546875
13,12851.666666666668,1070.0,0.04686594009399414
14,6429.999999999998,636.0,0.03127098083496094
15,6604.999999999999,785.0,0.046843767166137695
16,9509.999999999996,1022.0,0.03123164176940918
17,6926.666666666666,901.0,0.04690718650817871
18,11633.333333333327,1081.0,0.11148476600646973
19,8305.0,1216.0,0.03886914253234863
20,7051.666666666666,635.0,0.04186248779296875
21,7326.666666666665,794.0,0.03887200355529785
22,8403.333333333327,1086.0,0.04388093948364258
23,13028.333333333332,1204.0,0.045877933502197266
24,12533.333333333332,1106.0,0.03789544105529785
25,10206.666666666664,1134.0,0.03789710998535156
26,9953.333333333334,1003.0,0.034906625747680664
27,9863.333333333327,1322.0,0.03690147399902344
28,8631.666666666664,1212.0,0.054852962493896484
29,6873.333333333332,839.0,0.04188227653503418
30,6955.0,827.0,0.035878896713256836
31,6396.666666666666,616.0,0.03889584541320801
32,7733.333333333334,744.0,0.036911725997924805
33,7298.333333333331,907.0,0.0359039306640625
34,9671.666666666657,934.0,0.0359036922454834
35,6149.999999999999,590.0,0.03690171241760254
36,11769.999999999995,1195.0,0.05186152458190918
37,10306.666666666664,1067.0,0.042885541915893555
38,7486.666666666666,980.0,0.03989529609680176
39,10044.999999999996,1262.0,0.03587818145751953
40,8366.666666666666,904.0,0.038933515548706055
41,7303.333333333333,641.0,0.03786015510559082
42,9334.999999999996,1189.0,0.03690147399902344
43,8330.0,1005.0,0.037889719009399414
44,8066.666666666665,1090.0,0.03687119483947754
45,9058.333333333332,1140.0,0.03499436378479004
46,7791.666666666663,1124.0,0.031238794326782227
47,8631.666666666666,1258.0,0.04686617851257324
48,9276.666666666666,1309.0,0.03124260902404785
49,9596.666666666666,1363.0,0.046863555908203125
50,10230.0,1149.0,0.04686331748962402
51,6849.999999999996,666.0,0.046864986419677734
52,7408.333333333332,729.0,0.03124547004699707
53,9008.333333333332,1186.0,0.04686141014099121
54,11728.33333333333,1051.0,0.031241416931152344
55,13574.999999999995,987.0,0.06249380111694336
56,9668.33333333333,987.0,0.0312345027923584
57,9091.666666666659,1349.0,0.04686379432678223
58,6903.333333333333,719.0,0.031245946884155273
59,6885.0,637.0,0.03123950958251953
60,9646.666666666668,1339.0,0.046862125396728516
61,16354.999999999996,1002.0,0.031247615814208984
62,13481.666666666664,1022.0,0.07810258865356445
63,8603.333333333332,1161.0,0.04686403274536133
64,7980.0,884.0,0.046905517578125
65,6164.999999999997,588.0,0.046822309494018555
66,8536.666666666668,902.0,0.031241416931152344
67,20395.0,1291.0,0.046866655349731445
68,9071.666666666668,1066.0,0.046864986419677734
69,9455.0,1435.0,0.031241416931152344
70,8021.666666666664,979.0,0.0312504768371582
71,6466.666666666663,762.0,0.031244277954101562
72,7356.666666666667,652.0,0.04184150695800781
