,Cost,Redundant,epsilon,binding(1),sample,scenario,Time(sec)
0,23400.0,0.0,0.0,True,0,0,0.035904645919799805
1,24600.0,12.0,11.46,False,0,0,0.04487919807434082
2,25700.0,23.0,22.92,False,0,0,0.053855180740356445
3,26900.0,35.0,34.38,False,0,0,0.06284785270690918
4,28000.0,46.0,45.84,False,0,0,0.0718073844909668
5,29200.0,58.0,57.3,False,0,0,0.08178091049194336
6,30300.0,69.0,68.76,False,0,0,0.09075641632080078
7,31500.0,81.0,80.22,False,0,0,0.10073018074035645
8,32600.0,92.0,91.68,False,0,0,0.1107034683227539
9,33800.0,104.0,103.14,False,0,0,0.12067651748657227
10,34900.0,115.0,114.6,False,0,0,0.13065004348754883
11,36100.0,127.0,126.06,False,0,0,0.13962650299072266
12,37200.0,138.0,137.52,False,0,0,0.14959955215454102
13,38300.0,149.0,148.98,False,0,0,0.159576416015625
14,39500.0,161.0,160.44,False,0,0,0.17054367065429688
15,40600.0,172.0,171.9,False,0,0,0.18051695823669434
16,41800.0,184.0,183.36,False,0,0,0.18949270248413086
17,42900.0,195.0,194.82,False,0,0,0.19851303100585938
18,44100.0,207.0,206.28,False,0,0,0.20829081535339355
19,45200.0,218.0,217.74,False,0,0,0.21726298332214355
20,46400.0,230.0,229.2,False,0,0,0.2261943817138672
21,47500.0,241.0,240.66,False,0,0,0.23520255088806152
22,48700.0,253.0,252.12,False,0,0,0.24913334846496582
23,49800.0,264.0,263.58,False,0,0,0.2591245174407959
24,50999.99999999999,275.99999999999994,275.04,False,0,0,0.27112722396850586
25,52100.0,287.0,286.5,False,0,0,0.2810811996459961
26,53200.0,298.0,297.96,False,0,0,0.3119659423828125
27,54400.0,310.0,309.42,False,0,0,0.32198500633239746
28,55500.0,321.0,320.88,False,0,0,0.3368997573852539
29,56700.0,333.0,332.34,False,0,0,0.34691691398620605
30,57800.0,344.0,343.8,False,0,0,0.3638284206390381
31,59000.0,356.0,355.26,False,0,0,0.374798059463501
32,60100.0,367.0,366.72,False,0,0,0.38879871368408203
33,61300.0,379.0,378.18,False,0,0,0.3997321128845215
34,62400.0,390.0,389.64,False,0,0,0.40970587730407715
