,Cost,Redundant,epsilon,binding(1),sample,scenario,Time(sec)
0,0.0,150.0,150.0,True,0,0,0.03889632225036621
1,0.0,198.0,179.16,False,0,0,0.051367998123168945
2,0.0,222.0,208.32,False,0,0,0.06632804870605469
3,0.0,246.0,237.48000000000002,False,0,0,0.07630133628845215
4,0.0,270.0,266.64,False,0,0,0.08627462387084961
5,0.0,318.0,295.8,False,0,0,0.10223221778869629
6,0.0,342.0,324.96000000000004,False,0,0,0.11719369888305664
7,0.0,366.0,354.12,False,0,0,0.12915992736816406
8,0.0,390.0,383.28,False,0,0,0.1411283016204834
9,0.0,414.0,412.44,False,0,0,0.15210533142089844
10,0.0,462.0,441.6,False,0,0,0.16606616973876953
11,0.0,486.0,470.76,False,0,0,0.1790323257446289
12,0.0,510.0,499.92,False,0,0,0.18905353546142578
13,0.0,534.0,529.0799999999999,False,0,0,0.19903254508972168
14,0.0,582.0,558.24,False,0,0,0.2119920253753662
15,0.0,606.0,587.4,False,0,0,0.2259058952331543
16,0.0,630.0,616.56,False,0,0,0.2398698329925537
17,0.0,654.0,645.72,False,0,0,0.24988079071044922
18,905.0,675.0,674.88,False,0,0,0.2658090591430664
19,3905.0,705.0,704.04,False,0,0,0.2867867946624756
20,6805.0,734.0,733.2,False,0,0,0.3066902160644531
21,9705.0,763.0000000000005,762.36,False,0,0,0.33162355422973633
22,12604.999999999998,792.0,791.52,False,0,0,0.3535654544830322
23,15505.0,821.0,820.68,False,0,0,0.3695223331451416
24,18405.000000000004,850.0000000000003,849.84,False,0,0,0.3944559097290039
25,21305.000000000004,879.0000000000002,879.0,False,0,0,0.4493098258972168
26,24305.0,909.0,908.16,False,0,0,0.488222599029541
27,27205.0,938.0,937.32,False,0,0,0.5151331424713135
28,30105.0,967.0000000000002,966.48,False,0,0,0.536076545715332
29,33005.0,996.0000000000002,995.64,False,0,0,0.5590155124664307
30,35905.0,1025.0,1024.8,False,0,0,0.5829529762268066
31,38805.0,1054.0,1053.96,False,0,0,0.604893684387207
32,41805.0,1084.0,1083.12,False,0,0,0.6268343925476074
33,44705.0,1113.0,1112.28,False,0,0,0.6487765312194824
34,47605.0,1142.0,1141.44,False,0,0,0.6727113723754883
35,50505.0,1171.0,1170.6,False,0,0,0.6886687278747559
36,53405.0,1200.0,1199.76,False,0,0,0.7056312561035156
37,56305.0,1229.0,1228.92,False,0,0,0.7225785255432129
38,59305.0,1259.0,1258.08,False,0,0,0.7395331859588623
39,62205.0,1288.0,1287.24,False,0,0,0.7564883232116699
40,65105.0,1317.0,1316.4,False,0,0,0.7754371166229248
41,68005.0,1346.0,1345.56,False,0,0,0.7914385795593262
42,70910.0,1375.0,1374.72,False,0,0,0.8113574981689453
43,73805.0,1404.0000000000002,1403.88,False,0,0,0.8322844505310059
44,76805.0,1434.0,1433.04,False,0,0,0.8502368927001953
45,79705.0,1463.0,1462.2,False,0,0,0.8681883811950684
46,82605.0,1492.0,1491.36,False,0,0,0.885143518447876
47,85505.0,1521.0,1520.52,False,0,0,0.90509033203125
48,88405.0,1550.0,1549.68,False,0,0,0.9220445156097412
49,91305.0,1579.0,1578.84,False,0,0,0.9390003681182861
50,94205.0,1608.0000000000002,1608.0,False,0,0,0.9579486846923828
51,97205.0,1638.0,1637.16,False,0,0,0.9798901081085205
52,100110.0,1667.0,1666.32,False,0,0,0.9998369216918945
53,103005.0,1696.0,1695.48,False,0,0,1.0168349742889404
54,105910.0,1725.0,1724.64,False,0,0,1.0337464809417725
55,108805.0,1754.0,1753.8,False,0,0,1.0507018566131592
56,111705.0,1783.0,1782.96,False,0,0,1.067655324935913
57,114705.0,1813.0,1812.12,False,0,0,1.084610939025879
58,117610.0,1842.0,1841.28,False,0,0,1.104569435119629
59,120510.0,1871.0,1870.44,False,0,0,1.1205158233642578
60,123405.0,1900.0,1899.6,False,0,0,1.1404614448547363
61,126310.0,1929.0,1928.76,False,0,0,1.1584584712982178
62,129210.0,1958.0,1957.92,False,0,0,1.1783592700958252
63,132205.0,1988.0,1987.08,False,0,0,1.1953599452972412
64,135105.0,2017.0,2016.24,False,0,0,1.2112715244293213
65,138010.0,2046.0,2045.4,False,0,0,1.2282698154449463
66,140905.0,2075.0,2074.56,False,0,0,1.245180606842041
67,143805.0,2104.0,2103.7200000000003,False,0,0,1.2642295360565186
68,146710.0,2133.0,2132.88,False,0,0,1.2820398807525635
69,149705.0,2163.0,2162.04,False,0,0,1.2980890274047852
70,152610.0,2192.0,2191.2,False,0,0,1.3192453384399414
71,155505.0,2221.0,2220.36,False,0,0,1.33622145652771
72,158405.0,2250.0,2249.52,False,0,0,1.3528382778167725
73,161305.0,2279.0,2278.68,False,0,0,1.3698132038116455
74,164215.0,2308.0,2307.84,False,0,0,1.3927154541015625
75,167105.0,2337.0,2337.0,True,0,0,1.408757209777832
76,170115.0,2367.0,2366.16,False,0,0,1.4288642406463623
77,173005.0,2396.0,2395.32,False,0,0,1.4468176364898682
78,175905.0,2425.0,2424.48,False,0,0,1.4617767333984375
79,178805.0,2454.0,2453.64,False,0,0,1.4790213108062744
80,181715.0,2483.0,2482.8,False,0,0,1.5021343231201172
81,184615.0,2512.0,2511.96,False,0,0,1.5201191902160645
82,187615.0,2542.0,2541.12,False,0,0,1.5371181964874268
83,190505.0,2571.0,2570.28,False,0,0,1.5541446208953857
84,193405.0,2600.0,2599.44,False,0,0,1.5691592693328857
