,Cost,Redundant,Time(sec),sample,scenario,z
0,900.0,518.0,2.9837193489074707,0.0,1.0,18.0
1,1400.0,523.0,2.9837193489074707,0.0,1.0,18.0
2,1900.0,528.0,2.9837193489074707,0.0,1.0,18.0
3,2400.0,533.0,2.9837193489074707,0.0,1.0,18.0
4,2900.0,538.0,2.9837193489074707,0.0,1.0,18.0
5,3300.0,542.0,2.9837193489074707,0.0,1.0,18.0
6,3800.0,547.0,2.9837193489074707,0.0,1.0,18.0
7,4300.0,552.0,2.9837193489074707,0.0,1.0,18.0
8,4800.0,557.0,2.9837193489074707,0.0,1.0,18.0
9,5300.0,562.0,2.9837193489074707,0.0,1.0,18.0
10,5700.0,566.0,2.9837193489074707,0.0,1.0,18.0
11,6200.0,571.0,2.9837193489074707,0.0,1.0,18.0
12,6700.0,576.0,2.9837193489074707,0.0,1.0,18.0
13,7200.0,581.0,2.9837193489074707,0.0,1.0,18.0
14,7700.0,586.0,2.9837193489074707,0.0,1.0,18.0
15,8100.0,590.0,2.9837193489074707,0.0,1.0,18.0
16,8600.0,595.0,2.9837193489074707,0.0,1.0,18.0
17,9100.0,600.0,2.9837193489074707,0.0,1.0,18.0
18,9600.0,605.0,2.9837193489074707,0.0,1.0,18.0
19,10100.0,610.0,2.9837193489074707,0.0,1.0,18.0
20,10500.0,614.0,2.9837193489074707,0.0,1.0,18.0
21,11000.0,619.0,2.9837193489074707,0.0,1.0,18.0
22,11500.0,624.0,2.9837193489074707,0.0,1.0,18.0
23,12000.0,629.0,2.9837193489074707,0.0,1.0,18.0
24,12500.0,634.0,2.9837193489074707,0.0,1.0,18.0
25,12900.0,638.0,2.9837193489074707,0.0,1.0,18.0
26,13400.0,643.0,2.9837193489074707,0.0,1.0,18.0
27,13900.0,648.0,2.9837193489074707,0.0,1.0,18.0
28,14400.0,653.0,2.9837193489074707,0.0,1.0,18.0
29,14900.0,658.0,2.9837193489074707,0.0,1.0,18.0
30,15300.0,662.0,2.9837193489074707,0.0,1.0,18.0
31,15800.0,667.0,2.9837193489074707,0.0,1.0,18.0
32,16300.0,672.0,2.9837193489074707,0.0,1.0,18.0
33,16800.0,677.0,2.9837193489074707,0.0,1.0,18.0
34,17300.0,682.0,2.9837193489074707,0.0,1.0,18.0
35,17700.0,686.0,2.9837193489074707,0.0,1.0,18.0
36,18200.0,691.0,2.9837193489074707,0.0,1.0,18.0
37,18700.0,696.0,2.9837193489074707,0.0,1.0,18.0
38,19200.0,701.0,2.9837193489074707,0.0,1.0,18.0
39,19700.0,706.0,2.9837193489074707,0.0,1.0,18.0
40,20100.0,710.0,2.9837193489074707,0.0,1.0,18.0
41,20600.0,715.0,2.9837193489074707,0.0,1.0,18.0
42,21100.0,720.0,2.9837193489074707,0.0,1.0,18.0
43,21600.0,725.0,2.9837193489074707,0.0,1.0,18.0
44,22100.0,730.0,2.9837193489074707,0.0,1.0,18.0
45,22500.0,734.0,2.9837193489074707,0.0,1.0,18.0
46,23000.0,739.0,2.9837193489074707,0.0,1.0,18.0
47,23500.0,744.0,2.9837193489074707,0.0,1.0,18.0
48,24000.0,749.0,2.9837193489074707,0.0,1.0,18.0
49,24500.0,754.0,2.9837193489074707,0.0,1.0,18.0
50,24900.0,758.0,2.9837193489074707,0.0,1.0,18.0
51,25400.0,763.0,2.9837193489074707,0.0,1.0,18.0
52,25900.0,768.0,2.9837193489074707,0.0,1.0,18.0
53,26400.0,773.0,2.9837193489074707,0.0,1.0,18.0
54,26900.0,778.0,2.9837193489074707,0.0,1.0,18.0
55,27300.0,782.0,2.9837193489074707,0.0,1.0,18.0
56,27800.0,787.0,2.9837193489074707,0.0,1.0,18.0
57,28300.0,792.0,2.9837193489074707,0.0,1.0,18.0
58,28800.0,797.0,2.9837193489074707,0.0,1.0,18.0
59,29300.0,802.0,2.9837193489074707,0.0,1.0,18.0
60,29700.0,806.0,2.9837193489074707,0.0,1.0,18.0
61,30200.0,811.0,2.9837193489074707,0.0,1.0,18.0
62,30700.0,816.0,2.9837193489074707,0.0,1.0,18.0
63,31200.0,821.0,2.9837193489074707,0.0,1.0,18.0
64,31700.0,826.0,2.9837193489074707,0.0,1.0,18.0
65,32100.0,830.0,2.9837193489074707,0.0,1.0,18.0
66,32600.0,835.0,2.9837193489074707,0.0,1.0,18.0
67,33100.0,840.0,2.9837193489074707,0.0,1.0,18.0
68,33600.0,845.0,2.9837193489074707,0.0,1.0,18.0
69,34100.0,850.0,2.9837193489074707,0.0,1.0,18.0
70,34500.0,854.0,2.9837193489074707,0.0,1.0,18.0
71,35000.0,859.0,2.9837193489074707,0.0,1.0,18.0
72,35500.0,864.0,2.9837193489074707,0.0,1.0,18.0
73,36000.0,869.0,2.9837193489074707,0.0,1.0,18.0
74,36500.0,874.0,2.9837193489074707,0.0,1.0,18.0
75,36900.0,878.0,2.9837193489074707,0.0,1.0,18.0
76,37400.0,883.0,2.9837193489074707,0.0,1.0,18.0
77,37900.0,888.0,2.9837193489074707,0.0,1.0,18.0
78,38400.0,893.0,2.9837193489074707,0.0,1.0,18.0
79,38900.0,898.0,2.9837193489074707,0.0,1.0,18.0
80,39300.0,902.0,2.9837193489074707,0.0,1.0,18.0
81,39800.0,907.0,2.9837193489074707,0.0,1.0,18.0
82,40300.0,912.0,2.9837193489074707,0.0,1.0,18.0
83,40800.0,917.0,2.9837193489074707,0.0,1.0,18.0
84,41300.0,922.0,2.9837193489074707,0.0,1.0,18.0
85,41700.0,926.0,2.9837193489074707,0.0,1.0,18.0
86,42200.0,931.0,2.9837193489074707,0.0,1.0,18.0
87,42700.0,936.0,2.9837193489074707,0.0,1.0,18.0
88,43200.0,941.0,2.9837193489074707,0.0,1.0,18.0
89,43700.0,946.0,2.9837193489074707,0.0,1.0,18.0
90,44100.0,950.0,2.9837193489074707,0.0,1.0,18.0
91,44600.0,955.0,2.9837193489074707,0.0,1.0,18.0
92,45100.0,960.0,2.9837193489074707,0.0,1.0,18.0
93,45600.0,965.0,2.9837193489074707,0.0,1.0,18.0
94,46100.0,970.0,2.9837193489074707,0.0,1.0,18.0
95,46500.0,974.0,2.9837193489074707,0.0,1.0,18.0
96,47000.0,979.0,2.9837193489074707,0.0,1.0,18.0
97,47500.0,984.0,2.9837193489074707,0.0,1.0,18.0
98,48000.0,989.0,2.9837193489074707,0.0,1.0,18.0
99,48500.0,994.0,2.9837193489074707,0.0,1.0,18.0
100,48900.0,998.0,2.9837193489074707,0.0,1.0,18.0
101,1800.0,275.0,2.889880895614624,1.0,1.0,22.0
102,2100.0,280.0,2.889880895614624,1.0,1.0,18.0
103,2600.0,285.0,2.889880895614624,1.0,1.0,18.0
104,3100.0,290.0,2.889880895614624,1.0,1.0,18.0
105,3500.0,294.0,2.889880895614624,1.0,1.0,18.0
106,4000.0,299.0,2.889880895614624,1.0,1.0,18.0
107,4500.0,304.0,2.889880895614624,1.0,1.0,18.0
108,5000.0,309.0,2.889880895614624,1.0,1.0,18.0
109,5400.0,313.0,2.889880895614624,1.0,1.0,18.0
110,5900.0,318.0,2.889880895614624,1.0,1.0,18.0
111,6400.0,323.0,2.889880895614624,1.0,1.0,18.0
112,6900.0,328.0,2.889880895614624,1.0,1.0,18.0
113,7300.0,332.0,2.889880895614624,1.0,1.0,18.0
114,7800.0,337.0,2.889880895614624,1.0,1.0,18.0
115,8300.0,342.0,2.889880895614624,1.0,1.0,18.0
116,8700.0,346.0,2.889880895614624,1.0,1.0,18.0
117,9200.0,351.0,2.889880895614624,1.0,1.0,18.0
118,9700.0,356.0,2.889880895614624,1.0,1.0,18.0
119,10200.0,361.0,2.889880895614624,1.0,1.0,18.0
120,10600.0,365.0,2.889880895614624,1.0,1.0,18.0
121,11100.0,370.0,2.889880895614624,1.0,1.0,18.0
122,11600.0,375.0,2.889880895614624,1.0,1.0,18.0
123,12100.0,380.0,2.889880895614624,1.0,1.0,18.0
124,12500.0,384.0,2.889880895614624,1.0,1.0,18.0
125,13000.0,389.0,2.889880895614624,1.0,1.0,18.0
126,13500.0,394.0,2.889880895614624,1.0,1.0,18.0
127,13900.0,398.0,2.889880895614624,1.0,1.0,18.0
128,14400.0,403.0,2.889880895614624,1.0,1.0,18.0
129,14900.0,408.0,2.889880895614624,1.0,1.0,18.0
130,15400.0,413.0,2.889880895614624,1.0,1.0,18.0
131,15800.0,417.0,2.889880895614624,1.0,1.0,18.0
132,16300.0,422.0,2.889880895614624,1.0,1.0,18.0
133,16800.0,427.0,2.889880895614624,1.0,1.0,18.0
134,17300.0,432.0,2.889880895614624,1.0,1.0,18.0
135,17700.0,436.0,2.889880895614624,1.0,1.0,18.0
136,18200.0,441.0,2.889880895614624,1.0,1.0,18.0
137,18700.0,446.0,2.889880895614624,1.0,1.0,18.0
