,Cost,Redundant,Time(sec),sample,scenario,z
0,800.0,509.0,0.31242823600769043,0.0,0.0,16.0
1,8800.0,589.0,0.31242823600769043,0.0,0.0,16.0
2,16800.0,669.0,0.31242823600769043,0.0,0.0,16.0
3,24800.0,749.0,0.31242823600769043,0.0,0.0,16.0
4,32800.0,829.0,0.31242823600769043,0.0,0.0,16.0
5,40800.0,909.0,0.31242823600769043,0.0,0.0,16.0
6,48800.0,989.0,0.31242823600769043,0.0,0.0,16.0
7,800.0,274.0,0.31242823600769043,0.0,1.0,16.0
8,8800.0,354.0,0.31242823600769043,0.0,1.0,16.0
9,16800.0,434.0,0.31242823600769043,0.0,1.0,16.0
10,24800.0,514.0,0.31242823600769043,0.0,1.0,16.0
11,32800.0,594.0,0.31242823600769043,0.0,1.0,16.0
12,40800.0,674.0,0.31242823600769043,0.0,1.0,16.0
13,48800.0,754.0,0.31242823600769043,0.0,1.0,16.0
14,2800.0,55.0,0.31242823600769043,0.0,2.0,48.0
15,9200.0,135.0,0.31242823600769043,0.0,2.0,16.0
16,17100.0,214.0,0.31242823600769043,0.0,2.0,16.0
17,25000.0,293.0,0.31242823600769043,0.0,2.0,16.0
18,33000.0,373.0,0.31242823600769043,0.0,2.0,16.0
19,40900.0,452.0,0.31242823600769043,0.0,2.0,16.0
20,48800.0,531.0,0.31242823600769043,0.0,2.0,16.0
21,200.0,487.0,0.29680490493774414,1.0,0.0,4.0
22,8200.0,567.0,0.29680490493774414,1.0,0.0,4.0
23,16200.0,647.0,0.29680490493774414,1.0,0.0,4.0
24,24200.0,727.0,0.29680490493774414,1.0,0.0,4.0
25,32200.0,807.0,0.29680490493774414,1.0,0.0,4.0
26,40200.0,887.0,0.29680490493774414,1.0,0.0,4.0
27,48200.0,967.0,0.29680490493774414,1.0,0.0,4.0
28,1000.0,192.0,0.29680490493774414,1.0,1.0,20.0
29,8200.0,272.0,0.29680490493774414,1.0,1.0,4.0
30,16200.0,352.0,0.29680490493774414,1.0,1.0,4.0
31,24200.0,432.0,0.29680490493774414,1.0,1.0,4.0
32,32200.0,512.0,0.29680490493774414,1.0,1.0,4.0
33,40200.0,592.0,0.29680490493774414,1.0,1.0,4.0
34,48200.0,672.0,0.29680490493774414,1.0,1.0,4.0
35,3100.0,102.0,0.29680490493774414,1.0,2.0,48.0
36,9000.0,181.0,0.29680490493774414,1.0,2.0,8.0
37,16700.0,260.0,0.29680490493774414,1.0,2.0,4.0
38,24600.0,339.0,0.29680490493774414,1.0,2.0,4.0
39,32500.0,418.0,0.29680490493774414,1.0,2.0,4.0
40,40400.0,497.0,0.29680490493774414,1.0,2.0,4.0
41,48200.0,575.0,0.29680490493774414,1.0,2.0,4.0
42,1650.0,733.0,0.2968270778656006,2.0,0.0,33.0
43,9650.0,813.0,0.2968270778656006,2.0,0.0,33.0
44,17650.0,893.0,0.2968270778656006,2.0,0.0,33.0
45,25650.0,973.0,0.2968270778656006,2.0,0.0,33.0
46,33650.0,1053.0,0.2968270778656006,2.0,0.0,33.0
47,41650.0,1133.0,0.2968270778656006,2.0,0.0,33.0
48,49650.0,1213.0,0.2968270778656006,2.0,0.0,33.0
49,1650.0,497.0,0.2968270778656006,2.0,1.0,33.0
50,9650.0,577.0,0.2968270778656006,2.0,1.0,33.0
51,17650.0,657.0,0.2968270778656006,2.0,1.0,33.0
52,25650.0,737.0,0.2968270778656006,2.0,1.0,33.0
53,33650.0,817.0,0.2968270778656006,2.0,1.0,33.0
54,41650.0,897.0,0.2968270778656006,2.0,1.0,33.0
55,49650.0,977.0,0.2968270778656006,2.0,1.0,33.0
56,5850.0,61.0,0.2968270778656006,2.0,2.0,97.0
57,11350.0,139.0,0.2968270778656006,2.0,2.0,51.0
58,18450.0,217.0,0.2968270778656006,2.0,2.0,37.0
59,26350.0,296.0,0.2968270778656006,2.0,2.0,37.0
60,34150.0,374.0,0.2968270778656006,2.0,2.0,37.0
61,42050.0,453.0,0.2968270778656006,2.0,2.0,37.0
62,49850.0,531.0,0.2968270778656006,2.0,2.0,37.0
63,600.0,642.0,0.2968180179595947,3.0,0.0,12.0
64,8600.0,722.0,0.2968180179595947,3.0,0.0,12.0
65,16600.0,802.0,0.2968180179595947,3.0,0.0,12.0
66,24600.0,882.0,0.2968180179595947,3.0,0.0,12.0
67,32600.0,962.0,0.2968180179595947,3.0,0.0,12.0
68,40600.0,1042.0,0.2968180179595947,3.0,0.0,12.0
69,48600.0,1122.0,0.2968180179595947,3.0,0.0,12.0
70,600.0,271.0,0.2968180179595947,3.0,1.0,12.0
71,8600.0,351.0,0.2968180179595947,3.0,1.0,12.0
72,16600.0,431.0,0.2968180179595947,3.0,1.0,12.0
73,24600.0,511.0,0.2968180179595947,3.0,1.0,12.0
74,32600.0,591.0,0.2968180179595947,3.0,1.0,12.0
75,40600.0,671.0,0.2968180179595947,3.0,1.0,12.0
76,48600.0,751.0,0.2968180179595947,3.0,1.0,12.0
77,5900.0,10.0,0.2968180179595947,3.0,2.0,52.0
78,11300.0,84.0,0.2968180179595947,3.0,2.0,12.0
79,18800.0,159.0,0.2968180179595947,3.0,2.0,12.0
80,26200.0,233.0,0.2968180179595947,3.0,2.0,12.0
81,33700.0,308.0,0.2968180179595947,3.0,2.0,12.0
82,41200.0,383.0,0.2968180179595947,3.0,2.0,12.0
83,48600.0,457.0,0.2968180179595947,3.0,2.0,12.0
84,1000.0,692.0,0.2968292236328125,4.0,0.0,20.0
85,9000.0,772.0,0.2968292236328125,4.0,0.0,20.0
86,17000.0,852.0,0.2968292236328125,4.0,0.0,20.0
87,25000.0,932.0,0.2968292236328125,4.0,0.0,20.0
88,33000.0,1012.0,0.2968292236328125,4.0,0.0,20.0
89,41000.0,1092.0,0.2968292236328125,4.0,0.0,20.0
90,49000.0,1172.0,0.2968292236328125,4.0,0.0,20.0
